Date;Value_date;Reference;Recipient/Sender;IBAN;Amount;Balance;Transaction_Type;Category
2024-01-01;2024-01-02;INV4713;Crescent Technologies;DE1860197269680432003;6412.76;7412.76;Transfer;Administrative Expenses
2024-01-02;2024-01-02;REF3275;Isabella Wilson;DE1610482117117913758;-948.64;6464.12;Transfer;Taxes
2024-01-02;2024-01-02;PO2196;Summit Enterprises;DE9280954483357112007;-9547.55;-3083.43;Withdrawal;Taxes
2024-01-04;2024-01-04;TAX7131;Federal Revenue Service;DE4267818305575542483;-2248.86;-5332.29;Transfer;Administrative Expenses
2024-01-05;2024-01-06;PO8786;Summit Enterprises;DE9280954483357112007;-3122.82;-8455.11;Transfer;Administrative Expenses
2024-01-05;2024-01-05;PO8816;Sierra Industries;DE3390620094997185945;-7006.89;-15462.0;Withdrawal;Marketing
2024-01-06;2024-01-06;PO2140;Silverstone Solutions;DE1005274807899939805;-9153.07;-24615.07;Withdrawal;Research and Development
2024-01-06;2024-01-06;REF7203;Liam Brown;DE2287010195568088798;903.57;-23711.5;Transfer;Cost of Goods Sold
2024-01-06;2024-01-06;REF2110;Liam Brown;DE2287010195568088798;-299.04;-24010.54;Transfer;Interest Expense
2024-01-06;2024-01-06;REF5582;Liam Brown;DE2287010195568088798;-646.53;-24657.07;Transfer;Research and Development
2024-01-07;2024-01-07;PO6963;Sierra Industries;DE3390620094997185945;-6174.04;-30831.11;Transfer;Cost of Goods Sold
2024-01-07;2024-01-07;REF7291;Isabella Wilson;DE1610482117117913758;-958.57;-31789.68;Transfer;Taxes
2024-01-07;2024-01-07;REF4571;Ethan Moore;DE5143222138124291040;-734.58;-32524.26;Withdrawal;Administrative Expenses
2024-01-08;2024-01-08;PO4122;Silverstone Solutions;DE1005274807899939805;-9821.02;-42345.28;Transfer;Interest Expense
2024-01-10;2024-01-10;PO4056;Silverstone Solutions;DE1005274807899939805;-4237.34;-46582.62;Transfer;Interest Expense
2024-01-11;2024-01-12;PO4747;Synergy Technologies;DE7626146788286948833;-940.62;-47523.24;Withdrawal;Administrative Expenses
2024-01-11;2024-01-11;REF7365;James Smith;DE5075213287439027999;558.99;-46964.25;Withdrawal;Taxes
2024-01-11;2024-01-11;PO1364;Summit Enterprises;DE9280954483357112007;-152.21;-47116.46;Withdrawal;Interest Expense
2024-01-11;2024-01-11;REF3068;Liam Brown;DE2287010195568088798;-52.88;-47169.34;Transfer;Research and Development
2024-01-12;2024-01-12;REF3017;James Smith;DE5075213287439027999;-266.82;-47436.16;Transfer;Marketing
2024-01-13;2024-01-13;REF7745;Ava Davis;DE2434045291625091977;604.47;-46831.69;Deposit;Revenue
2024-01-13;2024-01-13;REF6615;Ava Davis;DE2434045291625091977;-515.5;-47347.19;Transfer;Interest Expense
2024-01-13;2024-01-13;REF6378;Isabella Wilson;DE1610482117117913758;-442.79;-47789.98;Transfer;Taxes
2024-01-13;2024-01-13;REF2679;Liam Brown;DE2287010195568088798;353.4;-47436.58;Transfer;Research and Development
2024-01-14;2024-01-14;REF4898;Mason Miller;DE4172431589140685843;177.71;-47258.87;Transfer;Cost of Goods Sold
2024-01-15;2024-01-15;TAX5336;Federal Tax Authority;DE6618241879776128855;-1809.46;-49068.33;Transfer;Research and Development
2024-01-15;2024-01-15;REF6567;Jackson Jones;DE6798178739033726258;-297.95;-49366.28;Deposit;Revenue
2024-01-15;2024-01-15;REF3925;Tom Williams;DE5617091973383039115;161.18;-49205.1;Withdrawal;Cost of Goods Sold
2024-01-16;2024-01-16;REF3853;Jackson Jones;DE6798178739033726258;-562.11;-49767.21;Withdrawal;Taxes
2024-01-16;2024-01-16;PO8308;Sierra Industries;DE3390620094997185945;-8225.94;-57993.15;Withdrawal;Interest Expense
2024-01-17;2024-01-17;REF4285;Tom Williams;DE5617091973383039115;-330.92;-58324.07;Transfer;Cost of Goods Sold
2024-01-17;2024-01-17;REF9026;Isabella Wilson;DE1610482117117913758;51.64;-58272.43;Withdrawal;Cost of Goods Sold
2024-01-17;2024-01-17;REF2425;Mason Miller;DE4172431589140685843;-121.86;-58394.29;Transfer;Taxes
